,h_index,r_index,t_idnex
0,1,2,3794
1,3,3,3795
2,3,4,3796
3,3,4,3797
4,3,4,3798
5,3,5,3799
6,3,3,3800
7,3,6,3801
8,3,7,3802
9,3,5,3803
10,3,3,3804
11,3,8,3805
12,3,8,3806
13,3,9,3807
14,3,10,3808
15,3,10,3809
16,4,11,3810
17,4,12,3810
18,5,13,3811
19,8,13,3812
20,13,14,3813
21,15,12,3814
22,15,12,3815
23,18,15,3816
24,20,16,3817
25,20,5,3818
26,20,16,3819
27,20,17,3819
28,20,18,3820
29,20,16,3821
30,20,19,3822
31,20,18,3823
32,20,16,3824
33,20,16,3825
34,20,18,3826
35,20,18,3827
36,20,16,3828
37,20,16,3829
38,20,18,3830
39,20,16,3831
40,20,17,3831
41,20,19,3832
42,20,19,3795
43,20,20,3795
44,20,16,3833
45,20,19,3834
46,20,18,3835
47,20,19,3836
48,20,19,3837
49,20,19,3838
50,20,20,3838
51,20,16,3839
52,20,16,3840
53,20,18,3841
54,20,16,3842
55,20,18,3843
56,20,18,3844
57,20,18,3845
58,20,18,3846
59,20,16,3847
60,20,19,3848
61,20,16,3849
62,20,16,3850
63,20,16,3851
64,20,16,3852
65,20,18,3853
66,20,16,3854
67,20,19,3855
68,20,16,3856
69,20,18,3857
70,20,18,3858
71,20,18,3859
72,20,18,3860
73,20,18,3861
74,20,18,3862
75,20,18,3863
76,20,18,3864
77,20,18,3865
78,20,18,3866
79,20,18,3867
80,20,18,3868
81,20,18,3869
82,20,18,3870
83,20,18,3871
84,20,18,3872
85,20,18,3873
86,20,18,3874
87,20,18,3875
88,20,18,3876
89,20,16,3877
90,20,18,3878
91,20,18,3879
92,20,18,3880
93,20,16,3881
94,20,17,3881
95,20,16,3882
96,20,16,3883
97,20,18,3884
98,20,16,3885
99,20,18,3886
100,20,18,3887
101,20,18,3888
102,20,19,3889
103,20,18,3890
104,20,18,3891
105,20,18,3892
106,20,18,3893
107,20,18,3894
108,20,16,3895
109,20,16,3896
110,20,17,3897
111,20,16,3898
112,20,18,3899
113,20,19,3900
114,20,18,3901
115,20,16,3902
116,20,16,3903
117,20,17,3903
118,20,16,3904
119,20,16,3905
120,20,16,3906
121,20,16,3907
122,20,17,3907
123,20,16,3908
124,20,16,3909
125,20,16,3910
126,20,16,3911
127,20,18,3912
128,20,18,3913
129,20,18,3914
130,20,19,3915
131,20,18,3916
132,20,18,3917
133,20,19,3918
134,20,19,3919
135,20,16,3920
136,20,18,3921
137,20,19,3922
138,20,16,3923
139,20,19,3924
140,20,19,3925
141,20,16,3926
142,20,19,3927
143,20,18,3928
144,20,18,3929
145,20,16,3930
146,20,16,3931
147,20,16,3932
148,20,18,3933
149,20,19,3934
150,20,16,3935
151,20,18,3936
152,20,16,3937
153,20,16,3938
154,20,18,3939
155,20,16,3940
156,20,17,3940
157,20,16,3941
158,20,16,3942
159,20,19,3943
160,20,16,3944
161,20,17,3942
162,20,16,3945
163,20,18,3946
164,20,18,3947
165,20,16,3948
166,20,16,3949
167,20,19,3950
168,20,19,3951
169,20,16,3952
170,20,16,3953
171,20,16,3954
172,20,19,3955
173,20,16,3956
174,20,17,3956
175,20,18,3957
176,20,19,3958
177,20,19,3959
178,20,18,3960
179,20,18,3961
180,20,16,3962
181,20,16,3963
182,20,19,3964
183,20,18,3965
184,20,16,3966
185,20,19,3967
186,20,16,3968
187,20,16,3969
188,20,16,3970
189,20,16,3971
190,20,8,3971
191,20,19,3972
192,20,19,3973
193,20,18,3974
194,20,16,1017
195,20,17,1017
196,20,16,3975
197,20,16,3976
198,20,18,3977
199,20,17,3976
200,20,16,3978
201,20,18,3979
202,20,18,3980
203,20,18,3981
204,20,4,3982
205,20,18,3983
206,20,18,3984
207,20,18,3985
208,20,18,3986
209,20,19,3987
210,20,18,3988
211,20,18,3989
212,20,19,3990
213,20,18,3991
214,20,16,3992
215,20,16,3993
216,20,16,3994
217,20,16,3995
218,20,18,3996
219,20,18,3997
220,20,16,3998
221,20,16,3999
222,20,16,4000
223,20,16,4001
224,20,18,4002
225,20,18,4003
226,20,16,4004
227,20,16,4005
228,20,18,4006
229,20,16,4007
230,20,19,4008
231,20,19,4009
232,20,19,4010
233,20,19,4011
234,20,19,4012
235,20,16,4013
236,20,19,4014
237,20,19,4015
238,20,16,4016
239,20,19,4017
240,20,19,4018
241,20,19,4019
242,20,19,4020
243,20,19,4021
244,20,19,4022
245,20,19,4023
246,20,19,4024
247,20,19,4025
248,20,19,4026
249,20,19,4027
250,20,16,4028
251,20,19,4029
252,20,18,4030
253,20,19,4031
254,20,19,4032
255,20,16,4033
256,20,18,4034
257,20,21,4035
258,20,19,4036
259,20,19,4037
260,20,16,4038
261,20,16,4039
262,20,16,4040
263,20,17,4040
264,20,16,4041
265,20,16,4042
266,20,16,4043
267,20,16,4044
268,20,19,4045
269,20,19,4046
270,20,19,4047
271,20,19,4048
272,20,19,4049
273,20,19,4050
274,20,19,4051
275,20,19,4052
276,20,19,4053
277,20,19,4054
278,20,16,4055
279,20,19,4056
280,20,19,4057
281,20,19,4058
282,20,19,4059
283,20,19,4060
284,20,19,4061
285,20,19,4062
286,20,19,4063
287,20,17,4055
288,20,19,4064
289,20,19,4065
290,20,19,4066
291,20,19,4067
292,20,19,4068
293,20,19,4069
294,20,19,4070
295,20,19,4071
296,20,19,4072
297,20,19,4073
298,20,16,4074
299,20,19,4075
300,20,19,4076
301,20,19,4077
302,20,19,4078
303,20,19,4079
304,20,19,4080
305,20,19,4081
306,20,19,4082
307,20,19,4083
308,20,19,4084
309,20,19,4085
310,20,19,4086
311,20,19,4087
312,20,19,4088
313,20,16,4089
314,20,16,4090
315,20,17,4090
316,20,19,4091
317,20,19,4092
318,20,19,4093
319,20,19,4094
320,20,16,4095
321,20,16,4096
322,20,19,4097
323,20,19,4098
324,20,19,4099
325,20,19,4100
326,20,19,4101
327,20,19,4102
328,20,19,4103
329,20,19,4104
330,20,16,4105
331,20,17,4105
332,20,19,4106
333,20,19,4107
334,20,19,4108
335,20,19,4109
336,20,19,4110
337,20,18,4111
338,20,18,4112
339,20,16,4113
340,20,19,4114
341,20,19,4115
342,20,18,4116
343,20,19,4117
344,20,19,4118
345,20,19,4119
346,20,19,4120
347,20,19,4121
348,20,19,4122
349,20,19,4123
350,20,19,4124
351,20,19,4125
352,20,19,4126
353,20,19,4127
354,20,19,4128
355,20,16,4129
356,20,19,4130
357,20,19,4131
358,20,19,4132
359,20,19,4133
360,20,19,4134
361,20,19,4135
362,20,19,4136
363,20,19,4137
364,20,19,4138
365,20,19,4139
366,20,19,4140
367,20,19,4141
368,20,16,4142
369,20,19,4143
370,20,19,4144
371,20,19,4145
372,20,19,4146
373,20,19,4147
374,20,19,4148
375,20,19,4149
376,20,19,4150
377,20,19,4151
378,20,19,4152
379,20,19,4153
380,20,19,4154
381,20,19,4155
382,20,19,4156
383,20,19,4157
384,20,19,4158
385,20,19,4159
386,20,19,4160
387,20,19,4161
388,20,19,4162
389,20,16,4163
390,20,16,4164
391,20,19,4165
392,20,19,4166
393,20,19,4167
394,20,19,4168
395,20,19,4169
396,20,19,4170
397,20,19,4171
398,20,16,4172
399,20,19,4173
400,20,18,4174
401,20,18,4175
402,20,19,4176
403,20,18,4177
404,20,18,4178
405,20,19,4179
406,20,18,4180
407,20,16,4181
408,20,18,4182
409,20,19,4183
410,20,16,4184
