,user_index,candidate_newindex,label
0,68,"[2540, 2541, 2541, 2541, 2541]","[1, 0, 0, 0, 0]"
1,56,"[2550, 2546, 2551, 2549, 2544]","[0, 0, 0, 1, 0]"
2,25,"[2559, 2564, 2554, 2584, 2563]","[1, 0, 0, 0, 0]"
3,82,"[2591, 2590, 2541, 2589, 2541]","[0, 1, 0, 0, 0]"
4,26,"[2595, 2605, 2615, 2618, 2636]","[1, 0, 0, 0, 0]"
5,86,"[2661, 2658, 2657, 2658, 2660]","[0, 0, 1, 0, 0]"
6,86,"[2584, 2659, 2572, 2587, 2564]","[0, 1, 0, 0, 0]"
7,76,"[2719, 2765, 1432, 2794, 2679]","[1, 0, 0, 0, 0]"
8,17,"[2824, 2650, 2551, 2822, 2546]","[0, 1, 0, 0, 0]"
9,95,"[2826, 2828, 2829, 2827, 2829]","[1, 0, 0, 0, 0]"
10,70,"[2830, 2540, 2540, 2540, 2540]","[1, 0, 0, 0, 0]"
11,98,"[2979, 2934, 2951, 2849, 2913]","[0, 0, 0, 0, 1]"
12,98,"[2541, 2968, 2541, 2541, 2541]","[0, 1, 0, 0, 0]"
13,3,"[2827, 3038, 3043, 3041, 3037]","[0, 0, 1, 0, 0]"
14,92,"[3053, 709, 2698, 2675, 2702]","[1, 0, 0, 0, 0]"
15,22,"[3091, 3092, 2872, 3087, 2992]","[0, 0, 0, 1, 0]"
16,22,"[2620, 2601, 3088, 2599, 2542]","[0, 0, 1, 0, 0]"
17,46,"[3122, 2617, 3118, 3121, 2545]","[0, 0, 0, 0, 1]"
18,81,"[2667, 2794, 2778, 2135, 3147]","[0, 0, 0, 0, 1]"
19,61,"[3157, 3159, 3154, 3156, 3153]","[0, 1, 0, 0, 0]"
20,20,"[3272, 2682, 2755, 3074, 3265]","[0, 1, 0, 0, 0]"
21,20,"[2541, 2589, 3190, 2541, 2591]","[0, 0, 1, 0, 0]"
22,20,"[2612, 2596, 2649, 2541, 2592]","[0, 0, 0, 1, 0]"
23,51,"[3042, 3035, 2829, 2959, 3038]","[1, 0, 0, 0, 0]"
24,51,"[3034, 2548, 2552, 2551, 2550]","[1, 0, 0, 0, 0]"
25,54,"[3337, 3324, 2837, 3346, 3345]","[0, 0, 0, 0, 1]"
26,49,"[3444, 3402, 3413, 3412, 3116]","[0, 1, 0, 0, 0]"
27,11,"[3449, 3448, 313, 3446, 3447]","[0, 0, 1, 0, 0]"
28,18,"[3474, 2959, 3458, 3387, 3471]","[0, 0, 1, 0, 0]"
29,18,"[2656, 3480, 2654, 2617, 2646]","[0, 1, 0, 0, 0]"
30,57,"[3144, 3460, 2544, 2547, 2552]","[0, 0, 1, 0, 0]"
31,57,"[2597, 2648, 3120, 2653, 2605]","[0, 0, 1, 0, 0]"
32,57,"[2545, 2551, 2548, 2544, 2823]","[0, 0, 0, 0, 1]"
33,57,"[2541, 2541, 2541, 2541, 3114]","[0, 0, 0, 0, 1]"
34,60,"[3512, 3509, 3515, 2653, 2868]","[1, 0, 0, 0, 0]"
35,60,"[2614, 3139, 2605, 2604, 2626]","[0, 1, 0, 0, 0]"
36,75,"[2760, 2631, 2591, 2540, 2816]","[0, 0, 0, 1, 0]"
37,4,"[3037, 3037, 3037, 3037, 3042]","[0, 0, 0, 0, 1]"
38,66,"[3473, 3481, 2835, 2826, 2959]","[0, 0, 0, 1, 0]"
39,78,"[2735, 3151, 2775, 2763, 2714]","[0, 1, 0, 0, 0]"
40,78,"[2560, 3131, 2570, 2554, 2584]","[0, 1, 0, 0, 0]"
41,78,"[2572, 2558, 2570, 2586, 420]","[0, 0, 0, 0, 1]"
42,78,"[2541, 2541, 2701, 2541, 2541]","[0, 0, 1, 0, 0]"
43,78,"[2642, 2627, 2601, 2788, 2621]","[0, 0, 0, 1, 0]"
44,78,"[2547, 2552, 2543, 2673, 2544]","[0, 0, 0, 1, 0]"
45,78,"[2555, 2830, 2588, 2573, 2553]","[0, 1, 0, 0, 0]"
46,93,"[2542, 3571, 2622, 3126, 3570]","[0, 1, 0, 0, 0]"
47,93,"[2640, 2615, 2621, 3522, 2651]","[0, 0, 0, 1, 0]"
48,13,"[3575, 3574, 3159, 3575, 3159]","[0, 1, 0, 0, 0]"
49,8,"[3578, 3576, 3527, 2647, 3579]","[0, 0, 0, 1, 0]"
50,97,"[3583, 3445, 3582, 3448, 3446]","[0, 0, 0, 0, 1]"
51,50,"[2540, 3596, 756, 3597, 3047]","[0, 0, 1, 0, 0]"
52,14,"[3110, 3336, 3600, 2741, 3602]","[0, 0, 0, 0, 1]"
53,14,"[2541, 2541, 2541, 2562, 2541]","[0, 0, 0, 1, 0]"
54,15,"[2659, 2659, 3617, 2659, 2659]","[0, 0, 1, 0, 0]"
55,94,"[3069, 2722, 2541, 2732, 3302]","[0, 0, 1, 0, 0]"
56,28,"[2540, 2540, 2540, 2830, 2540]","[0, 0, 0, 1, 0]"
57,2,"[3625, 2826, 3043, 3626, 2897]","[0, 0, 0, 1, 0]"
58,89,"[3673, 2872, 2577, 3088, 3666]","[0, 1, 0, 0, 0]"
59,63,"[3580, 3694, 2645, 3607, 2639]","[0, 0, 0, 0, 1]"
60,23,"[3698, 709, 3154, 3153, 3159]","[0, 1, 0, 0, 0]"
61,16,"[3527, 3527, 3527, 2659, 3527]","[0, 0, 0, 1, 0]"
62,5,"[2828, 3466, 3331, 3044, 3475]","[0, 0, 1, 0, 0]"
63,5,"[2541, 2591, 2589, 3136, 2541]","[0, 0, 0, 1, 0]"
64,36,"[3715, 2540, 3341, 2719, 3714]","[0, 1, 0, 0, 0]"
65,73,"[3035, 3716, 2826, 3717, 3034]","[0, 0, 1, 0, 0]"
66,0,"[2541, 2787, 2692, 756, 2806]","[0, 1, 0, 0, 0]"
67,0,"[2541, 3330, 2589, 2541, 2591]","[0, 1, 0, 0, 0]"
68,0,"[2556, 2726, 2579, 2561, 2557]","[0, 1, 0, 0, 0]"
69,6,"[3352, 3286, 3511, 3617, 2705]","[0, 0, 1, 0, 0]"
70,62,"[3132, 3140, 3749, 2543, 2645]","[0, 0, 0, 1, 0]"
71,53,"[3755, 2854, 3691, 3752, 3754]","[0, 0, 0, 1, 0]"
72,33,"[2705, 2615, 2755, 3736, 2738]","[0, 1, 0, 0, 0]"
73,1,"[2908, 3450, 3481, 3711, 2966]","[0, 0, 0, 0, 1]"
74,19,"[3701, 3699, 3777, 3158, 3702]","[0, 1, 0, 0, 0]"
75,19,"[2541, 2541, 2589, 2591, 3695]","[0, 0, 0, 0, 1]"
76,19,"[2541, 2541, 2541, 3159, 2541]","[0, 0, 0, 1, 0]"
77,38,"[3035, 3037, 3041, 3799, 3716]","[0, 0, 1, 0, 0]"
78,52,"[3034, 2829, 3037, 2826, 3042]","[0, 1, 0, 0, 0]"
79,80,"[3803, 3508, 3802, 2659, 3726]","[0, 0, 0, 1, 0]"
80,67,"[3805, 3484, 3141, 3809, 2545]","[0, 0, 0, 0, 1]"
81,29,"[3734, 2852, 3816, 3812, 3523]","[1, 0, 0, 0, 0]"
82,31,"[3411, 2582, 3444, 3391, 2832]","[1, 0, 0, 0, 0]"
83,55,"[2561, 3818, 3819, 2582, 2565]","[0, 0, 0, 0, 1]"
84,7,"[3827, 3826, 2590, 3269, 3824]","[0, 0, 0, 0, 1]"
85,24,"[3829, 3392, 3150, 3368, 3831]","[0, 0, 0, 1, 0]"
86,83,"[3846, 3175, 3840, 3857, 3447]","[0, 0, 0, 1, 0]"
87,9,"[2811, 3904, 3727, 3811, 2663]","[0, 0, 0, 1, 0]"
88,9,"[2588, 2568, 3870, 2582, 2587]","[0, 0, 1, 0, 0]"
89,9,"[2552, 2550, 2543, 3890, 2544]","[0, 0, 0, 1, 0]"
90,9,"[2556, 2576, 2816, 2579, 2575]","[0, 0, 1, 0, 0]"
91,9,"[2591, 2541, 3894, 2541, 2589]","[0, 0, 1, 0, 0]"
92,9,"[2667, 2541, 2591, 2541, 2589]","[1, 0, 0, 0, 0]"
93,74,"[3848, 3910, 908, 3446, 3911]","[0, 0, 1, 0, 0]"
94,12,"[2767, 2716, 2717, 2760, 2694]","[0, 1, 0, 0, 0]"
95,10,"[3541, 2475, 3589, 564, 1881]","[0, 0, 1, 0, 0]"
96,64,"[2691, 3069, 3532, 3254, 2705]","[0, 1, 0, 0, 0]"
97,64,"[2541, 2591, 3944, 2589, 2541]","[0, 0, 1, 0, 0]"
98,64,"[2550, 2546, 2715, 2552, 2545]","[0, 0, 1, 0, 0]"
99,64,"[2743, 2569, 2580, 2567, 2573]","[1, 0, 0, 0, 0]"
100,64,"[2546, 2544, 3550, 2545, 2543]","[0, 0, 1, 0, 0]"
101,64,"[2655, 2602, 2648, 2767, 2652]","[0, 0, 0, 1, 0]"
102,65,"[3966, 2022, 3967, 2931, 3964]","[0, 0, 1, 0, 0]"
103,39,"[3975, 3981, 3979, 3976, 3658]","[0, 1, 0, 0, 0]"
104,71,"[2465, 3827, 2776, 3150, 3065]","[1, 0, 0, 0, 0]"
105,59,"[3344, 3417, 3436, 2568, 3994]","[0, 0, 0, 1, 0]"
