,user_id,pnew_id,nnew_id,user_index
0,U13740,['N55689'],['N35729'],68
1,U91836,['N17059'],"['N20678', 'N39317', 'N58114', 'N20495', 'N42977', 'N22407', 'N14592', 'N33677', 'N7821', 'N6890']",56
2,U73700,['N23814'],"['N50014', 'N23877', 'N35389', 'N49712', 'N16844', 'N59685', 'N23446', 'N64174', 'N11817', 'N60550', 'N48225', 'N45509', 'N56711', 'N46821', 'N48017', 'N8015', 'N5364', 'N48722', 'N55555', 'N37348', 'N40109', 'N59495', 'N36226', 'N38779', 'N47346', 'N48875', 'N10960', 'N29739', 'N50872', 'N50592', 'N13131', 'N3839', 'N12330', 'N47098', 'N51570']",25
3,U34670,['N49685'],"['N35729', 'N33632', 'N27581']",82
4,U8125,['N8400'],"['N39985', 'N36050', 'N16096', 'N22407', 'N60408', 'N61497', 'N47412', 'N41220', 'N1940', 'N724', 'N11363', 'N261', 'N33883', 'N36807', 'N11967', 'N17896', 'N13486', 'N10413', 'N54274', 'N4247', 'N27497', 'N38512', 'N30253', 'N45389', 'N20015', 'N20678', 'N54003', 'N35850', 'N33261', 'N32010', 'N57426', 'N7419', 'N50023', 'N36446', 'N26940', 'N28495', 'N19318', 'N4936', 'N28414', 'N25108', 'N32791', 'N23563', 'N39317', 'N16166', 'N37058', 'N64851', 'N46992', 'N57327', 'N12995', 'N58363', 'N53084', 'N11094', 'N36436', 'N305', 'N58241', 'N33212', 'N6975', 'N58114', 'N3344', 'N25406', 'N4741', 'N33885', 'N20915', 'N44941', 'N57319', 'N36532', 'N61822', 'N20527']",26
5,U19739,"['N21119', 'N33619']","['N53696', 'N25722', 'N2869']",86
6,U8355,['N55204'],"['N51346', 'N33848', 'N15132', 'N10688', 'N6342', 'N61359', 'N7809', 'N64397', 'N27079', 'N47149', 'N39844', 'N52585', 'N58572', 'N15830', 'N41774', 'N3697', 'N33964', 'N54988', 'N47229', 'N9271', 'N63550', 'N40530', 'N14652', 'N51896', 'N57385', 'N49375', 'N21882', 'N14780', 'N58030', 'N30108', 'N26286', 'N9139', 'N21707', 'N45456', 'N21119', 'N45616', 'N47747', 'N36712', 'N26331', 'N46882', 'N21428', 'N41881', 'N43432', 'N57987', 'N26130', 'N3541', 'N18708', 'N12800', 'N44818', 'N6379', 'N49777', 'N2952', 'N61549', 'N63273', 'N42144', 'N3474', 'N35671', 'N58710', 'N24180', 'N6099', 'N35738', 'N46845', 'N41172', 'N5370', 'N63319', 'N39587', 'N13816', 'N13259', 'N8061', 'N51241', 'N20811', 'N51587', 'N35737', 'N22664', 'N12028', 'N64482', 'N20018', 'N4936', 'N22442', 'N53237', 'N15260', 'N53054', 'N41578', 'N58499', 'N29715', 'N40431', 'N23254', 'N23174', 'N1914', 'N10464', 'N154', 'N5075', 'N36621', 'N28983', 'N56598', 'N60826', 'N40065', 'N36933', 'N40725', 'N29128', 'N38155', 'N15855', 'N21519', 'N18698', 'N24176', 'N42961', 'N53044', 'N60272', 'N61623', 'N57713', 'N14713', 'N47067', 'N29001', 'N46751', 'N32087', 'N2', 'N56517', 'N32387', 'N9240', 'N7754', 'N54482', 'N26376', 'N8957', 'N53214', 'N60858', 'N3894', 'N35272', 'N48890', 'N43299', 'N59436', 'N62688', 'N63538', 'N57368', 'N555', 'N47981', 'N58410', 'N25587', 'N20954', 'N59343', 'N45723', 'N43789', 'N52622', 'N46878', 'N39461', 'N12280', 'N15761', 'N30172', 'N43502', 'N6926', 'N23081', 'N24686', 'N24550', 'N45660', 'N25437', 'N22457', 'N45270', 'N43415', 'N36545', 'N7474', 'N60872', 'N36741', 'N3506', 'N46029', 'N7128', 'N59981', 'N10754', 'N23784', 'N64542', 'N55689', 'N21840', 'N43338', 'N62212']",76
7,U46596,['N33885'],"['N7821', 'N24898', 'N12029', 'N13579', 'N42977', 'N11087']",17
8,U79199,['N51048'],"['N64094', 'N13907', 'N39010']",95
9,U53231,['N53585'],['N55689'],70
