word,word_id
Woman,0
suspect,1
dead,2
'Tarzan,3
actor,4
Ron,5
Ely,6
's,7
California,8
residence,9
8,10
should-be,11
buyers,12
NFL,13
trade,14
deadline,15
Miranda,16
Lambert,17
Reveals,18
Real,19
Reason,20
Behind,21
Her,22
Secret,23
Wedding,24
'It,25
Not,26
Everybody,27
Else,28
Kevin,29
Spacey,30
Wo,31
n't,32
Be,33
Charged,34
Sexual,35
Assault,36
Case,37
After,38
Accuser,39
Dies,40
Fall,41
TV,42
Scheduling,43
Hits,44
Misses,45
2019,46
Kanye,47
West,48
debt,49
piling,50
thanks,51
God,52
68,53
million,54
tax,55
refund,56
Former,57
NBA,58
first-round,59
pick,60
Jim,61
Farmer,62
arrested,63
sex,64
sting,65
operation,66
50,67
Unique,68
Holiday,69
Gift,70
Ideas,71
Him,72
Under,73
Mayfield,74
postgame,75
outfit,76
gets,77
memes,78
Pregnant,79
U.S.,80
women,81
soccer,82
star,83
Alex,84
Morgan,85
still,86
plans,87
play,88
2020,89
Summer,90
Olympics,91
Ellen,92
DeGeneres,93
Sandra,94
Bullock,95
go,96
'celebrity,97
endorsement,98
theft,99
industry,100
lawsuit,101
OJ,102
Simpson,103
suing,104
Vegas,105
hotel,106
defamation,107
2017,108
TMZ,109
story,110
claiming,111
'belligerence,112
A,113
Kansas,114
13-year-old,115
charged,116
felony,117
pointing,118
finger,119
gun,120
classmates,121
Kamala,122
Harris,123
Trump,124
Jr,125
'You,126
would,127
know,128
joke,129
one,130
raised,131
Hunter,132
Biden,133
Steps,134
Down,135
From,136
Chinese,137
Board,138
Attacks,139
Patrick,140
Day,141
coma,142
suffering,143
brutal,144
knockout,145
Hard,146
Rock,147
Hotel,148
New,149
Orleans,150
collapse,151
site,152
engineer,153
weighs,154
Why,155
hard,156
planes,157
land,158
water,159
Chicago,160
mayor,161
says,162
top,163
cop,164
drinking,165
incident,166
car,167
reporter,168
fired,169
climbing,170
cars,171
live,172
auto,173
show,174
Johnny,175
Manziel,176
trademarks,177
'comebackszn,178
clothing,179
line,180
5th,181
OWI,182
running,183
red,184
light,185
colliding,186
semi,187
I,188
tried,189
order,190
everything,191
Taco,192
Bell,193
secret,194
menu,195
total,196
disaster,197
The,198
world,199
largest,200
nuclear,201
power,202
producer,203
melting,204
Bill,205
Murray,206
applied,207
job,208
P.F,209
Chang,210
Atlanta,211
airport,212
Parents,213
UK,214
teen,215
killed,216
road,217
crash,218
say,219
sue,220
administration,221
underrated,222
players,223
first,224
half,225
season,226
Baker,227
island,228
Browns,229
deeply,230
concerned,231
Heidi,232
Klum,233
Halloween,234
Costume,235
Transformation,236
Is,237
Mind-Blowing,238
But,239
Like,240
What,241
It,242
Sen.,243
Dianne,244
Feinstein,245
renews,246
call,247
racing,248
suspended,249
Santa,250
Anita,251
Park,252
latest,253
horse,254
death,255
Supreme,256
Court,257
seems,258
prepared,259
rule,260
police,261
traffic-stop,262
case,263
We,264
Tried,265
Cinnamon,266
Coke,267
And,268
Cranberry,269
Sprite,270
One,271
Of,272
Them,273
About,274
To,275
Become,276
Your,277
Favorite,278
Milwaukee,279
blames,280
President,281
rhetoric,282
alleged,283
acid,284
attack,285
Giannis,286
Antetokounmpo,287
hilarious,288
quote,289
crooked,290
rim,291
Jon,292
Gruden,293
going,294
keep,295
making,296
pass,297
interference,298
challenges,299
Krispy,300
Kreme,301
orders,302
Minnesota,303
student,304
bought,305
resold,306
doughnuts,307
'shut,308
operations,309
Tax,310
Return,311
Confronts,312
With,313
Momentous,314
Choice,315
Clippers,316
set,317
bad,318
precedent,319
resting,320
Kawhi,321
Leonard,322
Bucks,323
Eric,324
Bledsoe,325
forgot,326
rules,327
basketball,328
inbound,329
More,330
Californians,331
seek,332
removals,333
Newsom,334
signs,335
new,336
firearm,337
laws,338
'can,339
get,340
wrong,341
Mike,342
Pompeo,343
suggests,344
William,345
Taylor,346
misunderstood,347
Ukraine,348
controversy,349
accuses,350
Obama,351
treason,352
'spying,353
2016,354
campaign,355
QB,356
rankings,357
Aaron,358
Rodgers,359
back,360
best,361
Mitchell,362
Trubisky,363
worst,364
AOC,365
retweets,366
Jane,367
Fonda,368
arrest,369
video,370
1,371
day,372
slamming,373
GOP,374
'asking,375
Cummings,376
widow,377
responds,378
attacks,379
standing,380
ovation,381
Gronkowski,382
'll,383
unretire,384
legalizes,385
CBD,386
Nunes,387
Aide,388
Leaking,389
Whistleblower,390
Name,391
Sources,392
Say,393
Joe,394
reportedly,395
denied,396
Communion,397
South,398
Carolina,399
church,400
stance,401
abortion,402
Passenger,403
Booted,404
Diverted,405
Flight,406
Threatening,407
Rant,408
1970,409
Dodge,410
Charger,411
destroyed,412
man,413
sick,414
lowballers,415
showed,416
Girl,417
7,418
critically,419
wounded,420
shooting,421
trick-or-treating,422
Little,423
Village,424
Southwest,425
Side,426
custody,427
Ohio,428
Reputation,429
As,430
Must-Win,431
State,432
May,433
No,434
Longer,435
True,436
'Ghost,437
kitchens,438
taking,439
fast-food,440
chains,441
Chick-fil-A,442
Wendy,443
blasts,444
officials,445
loss,446
Refs,447
'pretty,448
today,449
'Wheel,450
Fortune,451
Guest,452
Delivers,453
Hilarious,454
Off,455
Rails,456
Introduction,457
Nationals,458
pitcher,459
criticized,460
missing,461
playoff,462
game,463
daughter,464
birth,465
Gordon,466
Ramsay,467
Ferrari,468
Monza,469
SP2,470
Looks,471
Delicious,472
Trent,473
Williams,474
Cleveland,475
rumor,476
emerges,477
Do,478
Old-School,479
Mustang,480
Guys,481
Think,482
Kia,483
Stinger,484
Russia,485
questions,486
language,487
``,488
unusual,489
'',490
letter,491
Erdogan,492
'The,493
Office,494
Jenna,495
Fischer,496
Chrissy,497
Teigen,498
theory,499
Pam,500
divorced,501
​Are,502
Astros,503
stealing,504
gain,505
edge,506
ALCS,507
Hopefully,508
McConnell,509
tees,510
government,511
funding,512
votes,513
amid,514
stalemate,515
threatens,516
CNN,517
citing,518
Project,519
Veritas,520
videos,521
Colin,522
Kaepernick,523
perfect,524
replacement,525
Mahomes,526
Ian,527
Rapoport,528
MRI,529
results,530
good,531
news,532
City,533
Chiefs,534
Next,535
prepare,536
life,537
without,538
Moore,539
British,540
PM,541
Brexit,542
deal,543
vote,544
Giants,545
Eli,546
Manning,547
Daniel,548
Jones,549
struggles,550
people,551
phony,552
Emoluments,553
Clause,554
Cabinet,555
meeting,556
devolves,557
71,558
minutes,559
grievances,560
Urban,561
legend,562
How,563
Cowboys,564
rout,565
Eagles,566
helped,567
take,568
Coach,569
Meyer,570
conversation,571
Verizon,572
give,573
wireless,574
customers,575
year,576
Disney+,577
House,578
rejects,579
measure,580
censuring,581
Schiff,582
Randy,583
Moss,584
takes,585
dig,586
Buck,587
infamous,588
'disgusting,589
act,590
Poll,591
support,592
impeaching,593
removing,594
office,595
Pizza,596
Hut,597
testing,598
round,599
pizza,600
box,601
looks,602
like,603
spaceship,604
meant,605
fresher,606
lead,607
Democratic,608
primary,609
hits,610
widest,611
margin,612
since,613
April,614
Films,615
signed,616
airing,617
Sam,618
Darnold,619
'ghosts,620
comment,621
already,622
practice,623
Facebook,624
Zuckerberg,625
grilled,626
fact-checking,627
policy,628
political,629
ads,630
Suns,631
Deandre,632
Ayton,633
25,634
games,635
violating,636
anti-drug,637
Payton,638
declines,639
name,640
Saints,641
starting,642
Week,643
Jenkins,644
scorching,645
response,646
Scandrick,647
ripping,648
Flacco,649
criticizes,650
Broncos,651
coaches,652
'afraid,653
lose,654
Colts,655
comeback,656
J.J.,657
Watt,658
sobering,659
season-ending,660
injury,661
Shelby,662
GT500,663
Aero,664
Performance,665
Cooling,666
Justice,667
Dept,668
appeals,669
Mueller,670
grand,671
jury,672
testimony,673
Jets,674
DL,675
Burning,676
Dolphins,677
vs.,678
Steelers,679
'Monday,680
Night,681
Football,682
reacted,683
getting,684
loudly,685
booed,686
World,687
Series,688
Graham,689
claims,690
victory,691
impeachment,692
First,693
Drive,694
Apex,695
Predator,696
Turning,697
Drivers,698
Into,699
Track,700
Stars,701
AP,702
source,703
ends,704
holdout,705
reports,706
Redskins,707
LA,708
Getty,709
fire,710
sparked,711
downed,712
lines,713
Mayor,714
Garcetti,715
Democrats,716
unveil,717
procedures,718
inquiry,719
rebutting,720
Joel,721
Embiid,722
Karl-Anthony,723
Towns,724
likely,725
facing,726
multi-game,727
bans,728
roles,729
brawl,730
Testimony,731
White,732
lawyer,733
told,734
Vindman,735
discuss,736
vs,737
Bears,738
Khalil,739
Mack,740
calls,741
C,742
Jason,743
Kelce,744
controversial,745
tactics,746
offsides,747
penalties,748
Cause,749
determined,750
Jessi,751
Combs,752
fatal,753
speed,754
record,755
Winners,756
losers,757
win,758
Watch,759
Harlan,760
streaking,761
cat,762
'MNF,763
epic,764
MetLife,765
Stadium,766
searching,767
famous,768
black,769
Ford,770
Mach,771
E,772
Electric,773
SUV,774
Spied,775
Looking,776
...,777
Interesting,778
Texas,779
mom,780
prison,781
putting,782
son,783
unnecessary,784
medical,785
Harley-Davidson,786
halts,787
production,788
electric,789
motorcycles,790
Bear,791
cubs,792
sneak,793
backyard,794
pool,795
dip,796
Let,797
'Napoleon,798
Bonaparte,799
rescue,800
Kurds,801
Hilary,802
Duff,803
Matthew,804
Koma,805
Spark,806
Marriage,807
Rumors,808
He,809
Calls,810
Wife,811
WeWork,812
sack,813
"2,000",814
staff,815
anger,816
toward,817
founder,818
Adam,819
Neumann,820
grows,821
reacts,822
handing,823
Packers,824
Lions,825
Tesla,826
Model,827
S,828
Back,829
At,830
Nurburgring,831
Presidential,832
election,833
model,834
got,835
40,836
years,837
predicts,838
Senate,839
try,840
override,841
emergency,842
declaration,843
veto,844
Thursday,845
passionate,846
guy,847
Ex-NASCAR,848
team,849
owner,850
found,851
River,852
near,853
Louisville,854
Contractor,855
shows,856
structural,857
flaws,858
prior,859
'Totally,860
avoidable,861
3,862
construction,863
companies,864
fined,865
deadly,866
Seattle,867
crane,868
Officer,869
placed,870
leave,871
threatening,872
skaters,873
gunpoint,874
Hours,875
passing,876
Elijah,877
subpoenas,878
directed,879
two,880
US,881
immigration,882
agencies,883
Missouri,884
week,885
alive,886
crashed,887
ravine,888
42,889
price,890
cut,891
tech,892
billionaire,893
Silicon,894
Valley,895
monster,896
mansion,897
'He,898
clarified,899
Mulvaney,900
backtrack,901
admitting,902
quid,903
pro,904
quo,905
Hawk,906
Ca,907
Understand,908
This,909
'Bunny,910
Scared,911
Listen,912
Insane,913
9.5-Liter,914
LS,915
V12,916
Engine,917
Comes,918
Life,919
Airstream,920
Caravel,921
Miniature,922
Room,923
Wheels,924
Wild,925
castle,926
sale,927
gold,928
mine,929
Leaves,930
Allies,931
Syria,932
Kurdish,933
Commander,934
Struggles,935
Fallout,936
Emily,937
Ratajkowski,938
Being,939
Sued,940
"150,000",941
Over,942
Instagram,943
Photo,944
An,945
architect,946
built,947
dream,948
tiny,949
home,950
Colorado,951
shares,952
photos,953
2,954
passengers,955
emotional,956
French,957
bulldogs,958
booted,959
Norwegian,960
Air,961
flight,962
America,963
11,964
license,965
unpaid,966
fines,967
Truck,968
Smashing,969
Gas,970
Station,971
Could,972
Dumbest,973
Crash,974
Story,975
Ever,976
Mom,977
Had,978
Response,979
Man,980
Who,981
Told,982
'Cover,983
Up,984
While,985
Breastfeeding,986
Public,987
Officials,988
cringe,989
spills,990
sensitive,991
details,992
al-Baghdadi,993
raid,994
Belle,995
Lucia,996
Was,997
Shamed,998
Small,999
Bump,1000
Shares,1001
Post-Baby,1002
'Pregnancy,1003
Antonio,1004
Brown,1005
Out,1006
Patriots,1007
Pay,1008
Weird,1009
Since-Deleted,1010
Tweet,1011
Opinion,1012
alone,1013
sporting,1014
event,1015
Walmart,1016
Sparks,1017
Panic,1018
Confusion,1019
Dish-Soap,1020
Aisle,1021
Amazing,1022
motorhomes,1023
rich,1024
'Carrie,1025
costume,1026
totals,1027
terrifies,1028
responders,1029
Zealand,1030
accidentally,1031
"1,000",1032
chickens,1033
online,1034
0.96,1035
Panera,1036
Bread,1037
worker,1038
TikTok,1039
exposed,1040
frozen,1041
mac,1042
cheese,1043
Miguel,1044
Cervantes,1045
Daughter,1046
'Died,1047
My,1048
Arms,1049
Entering,1050
Hospice,1051
Care,1052
Jersey,1053
Couple,1054
Sues,1055
Chalupa,1056
Prices,1057
blow,1058
another,1059
Raiders-Packers,1060
Jussie,1061
Smollett,1062
fails,1063
persuade,1064
judge,1065
drop,1066
seeking,1067
"130,000",1068
fine,1069
China,1070
asks,1071
WTO,1072
2.4,1073
billion,1074
sanctions,1075
clash,1076
jokingly,1077
trolls,1078
Belichick,1079
sideline,1080
smile,1081
speedy,1082
recovery,1083
knee,1084
may,1085
exceptional,1086
anatomy,1087
Rules,1088
Call,1089
Sick,1090
Work,1091
Property,1092
Brothers,1093
J.D,1094
Scott,1095
Marries,1096
Annalee,1097
Vintage,1098
Theatre-Themed,1099
Employer,1100
Stuck,1101
"898,984",1102
Premature,1103
Baby,1104
wave,1105
couple,1106
beach,1107
wedding,1108
photo,1109
shoot,1110
stunning,1111
picture,1112
viral,1113
Gates,1114
'm,1115
happy,1116
pay,1117
20,1118
taxes,1119
Warren,1120
plan,1121
make,1122
little,1123
math,1124
Chicken,1125
recall,1126
pounds,1127
recalled,1128
contaminated,1129
metal,1130
Meghan,1131
McCain,1132
confronts,1133
Jr.,1134
family,1135
hurt,1136
lot,1137
Bloomberg,1138
ready,1139
spend,1140
'whatever,1141
become,1142
president,1143
Iowan,1144
convicted,1145
murder,1146
life-sentence,1147
served,1148
died,1149
revived,1150
court,1151
disagrees,1152
envoy,1153
testify,1154
'no,1155
came,1156
Kremlin,1157
relishes,1158
pullback,1159
turmoil,1160
Canadian,1161
Snowbird,1162
plane,1163
crashes,1164
air,1165
Chileans,1166
short-term,1167
visas,1168
'burglary,1169
tourism,1170
jaunts,1171
Florida,1172
eye,1173
explosion,1174
fuel,1175
quake,1176
required,1177
report,1178
meetings,1179
Americans,1180
Qantas,1181
completes,1182
19-hour,1183
test,1184
limits,1185
travel,1186
defense,1187
minister,1188
resolving,1189
'Taiwan,1190
question,1191
national,1192
priority,1193
fought,1194
father,1195
birthday,1196
defending,1197
Russian,1198
submarine,1199
ballistic,1200
missile,1201
Vedomosti,1202
Justin,1203
Trudeau,1204
eked,1205
Canada,1206
liberal,1207
honeymoon,1208
might,1209
Goldman,1210
Fed,1211
big,1212
changes,1213
next,1214
Schumer,1215
proposes,1216
462,1217
swap,1218
-,1219
gas,1220
Putin,1221
took,1222
lap,1223
Middle,1224
East,1225
Now,1226
turning,1227
Africa,1228
Home-Improvement,1229
Boom,1230
Forecast,1231
Fizzle,1232
Politicians,1233
Pundits,1234
React,1235
Twitter,1236
Donald,1237
Confirms,1238
ISIS,1239
Leader,1240
Al-Baghdadi,1241
Death,1242
Troops,1243
pull,1244
key,1245
Ukrainian,1246
front-line,1247
town,1248
least,1249
earthquake,1250
strikes,1251
Philippines,1252
Mindanao,1253
Iran,1254
lash,1255
protect,1256
oil,1257
Downturns,1258
four,1259
counties,1260
foreshadowed,1261
past,1262
recessions,1263
Gunmen,1264
kill,1265
15,1266
southern,1267
Thailand,1268
Drug,1269
cartel,1270
ambush,1271
Mexico,1272
leaves,1273
nine,1274
citizens,1275
Maryland,1276
Congressman,1277
Democrat,1278
Chair,1279
Oversight,1280
Reform,1281
Committee,1282
Latest,1283
plead,1284
guilty,1285
Giuliani-associate,1286
probe,1287
comments,1288
aid,1289
made,1290
things,1291
'much,1292
much,1293
worse,1294
James,1295
Mattis,1296
mocks,1297
bone,1298
spurs,1299
MLB,1300
umpire,1301
Cooper,1302
52,1303
Best,1304
performances,1305
'Go,1306
confession,1307
Scaramucci,1308
urges,1309
Mick,1310
ask,1311
dismiss,1312
NY,1313
return,1314
law,1315
Coast,1316
Guard,1317
searches,1318
fell,1319
cruise,1320
Mitch,1321
snubbed,1322
pallbearer,1323
handshake,1324
Capitol,1325
ceremony,1326
Fake,1327
